Timestamp,Issue_Key,Issue_Type,Status,Priority,Assignee,Reporter,Story_Points,Resolution_Time,Comments_Count
10-05-2024 05:20,RS-1570,Bug,Closed,Medium,James Adams,Chelsea Carrillo,1,64,6
08-05-2024 19:55,at-4787,Story,Open,High,Dustin Smith,Chad Schwartz,8,16,12
14-05-2024 17:11,EK-2490,Task,Closed,High,Charles Vargas,Cheryl Johnston,7,81,13
16-05-2024 10:04,Eq-8403,Story,In Progress,Medium,Erin Burton,Courtney Golden,5,48,11
15-05-2024 15:33,VQ-0736,Story,Open,Low,Haley Mendoza,Devin Johnson,5,75,9
16-05-2024 17:14,EV-6647,Task,In Progress,High,Larry King,Tracy Gregory,10,21,9
18-05-2024 06:40,HQ-9115,Story,Closed,Medium,Ryan Davis,Kaitlyn Alvarez,9,7,2
12-05-2024 14:08,mx-8896,Bug,Resolved,Low,Kristen Gibson,Sydney Moody,9,58,2
14-05-2024 17:46,ox-4546,Bug,Closed,Low,Michael Mcdaniel,Tina Lee,1,83,11
14-05-2024 06:05,Ek-4102,Bug,Open,High,Daniel Mason,Steven Williams,8,54,1
14-05-2024 16:53,la-5026,Story,Open,High,Mariah James,Dr. Tonya Tran,7,76,1
16-05-2024 01:21,jp-2639,Bug,Closed,Low,Robert Barton,Brandon Thompson,9,27,6
13-05-2024 18:25,ff-3725,Task,In Progress,Medium,Daniel Jones,Brian Zimmerman,5,51,0
13-05-2024 15:40,RS-5119,Bug,Open,Medium,Pamela Prince,Gloria Foster,1,59,8
12-05-2024 18:47,Mo-3257,Task,In Progress,Low,Jennifer Solomon,Brandon Riley,4,71,0
18-05-2024 14:22,Xy-2694,Bug,Closed,High,Patrick Joseph,Haley Anderson,4,13,4
13-05-2024 13:15,Dn-4395,Story,Closed,High,Joseph Mack,Matthew Roberts,4,95,16
16-05-2024 03:41,fU-0973,Bug,In Progress,High,Heather Bradford,Joyce Foley,3,79,2
14-05-2024 01:41,wD-0633,Story,In Progress,Medium,Edward Combs,Amanda Graham,8,25,14
11-05-2024 21:10,fX-1287,Bug,Open,High,Kelli Pitts,Dr. Ashley Hall MD,3,73,2
11-05-2024 20:48,rD-7013,Bug,Resolved,High,Kimberly Williams,Connie Salinas,6,27,19
10-05-2024 04:21,zb-5159,Story,Open,Medium,Gregory Long,Gabriel Rodgers,8,25,16
13-05-2024 13:14,Fz-3228,Task,Resolved,Low,Rachel Reid,Levi Turner,10,83,11
09-05-2024 18:02,qE-5282,Bug,Closed,Low,Caroline Hall,James Harding,2,34,18
10-05-2024 16:46,um-4077,Bug,In Progress,Medium,Matthew Bailey,Ryan Medina,6,41,10
18-05-2024 08:33,eQ-8916,Bug,Open,Low,John Figueroa,Paul Jones,4,35,10
18-05-2024 05:01,ka-0066,Story,In Progress,High,Christopher Mckay,Elizabeth Flowers,1,93,2
10-05-2024 11:11,gt-8034,Task,Open,High,Elizabeth Adams,Spencer Jones,10,78,18
